swab.id;site;date;cluster_size;sex;age;forearm;body.mass;fat.amt;fat.method;percent.fat
NA;Aeolus;2008-Nov-18;NA;F;A;36.4;6.8;1.409;soxhlet;0.207205882
NA;Aeolus;2008-Nov-18;NA;M;A;35.7;7.43;1.057;soxhlet;0.142261104
NA;Aeolus;2008-Nov-18;NA;F;J;39;7.28;12.129;soxhlet;0.166607143
NA;Aeolus;2008-Nov-18;NA;M;A;37.3;7.27;0.8061;soxhlet;0.11088033
NA;Aeolus;2008-Nov-18;NA;F;A;37.8;7.32;15.675;soxhlet;0.214139344
NA;Aeolus;2008-Nov-18;NA;M;A;36.4;6.89;10.528;soxhlet;0.152801161
NA;Aeolus;2008-Nov-18;NA;F;J;37.7;7.5;16.751;soxhlet;0.223346667
NA;Aeolus;2008-Nov-18;NA;M;A;40;7.23;11.112;soxhlet;0.153692946
NA;Aeolus;2008-Nov-18;NA;F;A;38.3;7.5;11.904;soxhlet;0.15872
NA;Aeolus;2008-Nov-18;NA;F;A;38.1;8.2;18.916;soxhlet;0.230682927
NA;Aeolus;2008-Nov-18;NA;F;A;36.6;7.2;1.19;soxhlet;0.165277778
NA;Aeolus;2008-Nov-18;NA;F;A;39.4;7.6;13.903;soxhlet;0.182934211
NA;Aeolus;2008-Nov-18;NA;F;A;40;7.91;1.135;soxhlet;0.143489254
NA;Aeolus;2008-Nov-18;NA;F;A;38.5;NA;16.448;soxhlet;NA
NA;Aeolus;2008-Nov-18;NA;F;A;37.9;7.6;1.179;soxhlet;0.155131579
NA;Aeolus;2008-Nov-18;NA;F;A;40.3;7.9;1.27;soxhlet;0.160759494
NA;Aeolus;2008-Nov-18;NA;F;A;39.5;8.29;16.886;soxhlet;0.203691194
NA;Aeolus;2008-Nov-18;NA;F;A;38.1;6.8;10.195;soxhlet;0.149926471
NA;Aeolus;2008-Nov-18;NA;F;A;40.9;7.68;0.9438;soxhlet;0.122890625
NA;Aeolus;2008-Nov-18;NA;F;A;38.2;7.57;15.297;soxhlet;0.202073976
NA;Aeolus;2008-Nov-18;NA;F;A;37.9;7;12.746;soxhlet;0.182085714
NA;Aeolus;2008-Nov-18;NA;F;A;37.5;7.65;1.34;soxhlet;0.175163399
NA;Aeolus;2008-Nov-18;NA;F;A;40.3;8.4;1.464;soxhlet;0.174285714
NA;Aeolus;2008-Nov-18;NA;F;A;38.6;7.15;11.509;soxhlet;0.160965035
NA;Aeolus;2008-Nov-18;NA;F;A;37.6;8.2;22.176;soxhlet;0.270439024
NA;Aeolus;2009-Jan-31;NA;M;A;41.1;7.01;0.5914;soxhlet;0.084365193
NA;Aeolus;2009-Jan-31;NA;M;A;36.9;6.58;0.5988;soxhlet;0.09100304
NA;Aeolus;2009-Jan-31;NA;M;A;38.1;6.94;0.3187;soxhlet;0.04592219
NA;Aeolus;2009-Jan-31;NA;M;A;37.1;6.67;0.4714;soxhlet;0.070674663
NA;Aeolus;2009-Jan-31;NA;M;A;39.3;7.13;0.7574;soxhlet;0.106227209
NA;Aeolus;2009-Jan-31;NA;M;A;37.8;6.41;0.4702;soxhlet;0.073354134
NA;Aeolus;2009-Jan-31;NA;M;J;36.8;5.79;0.3851;soxhlet;0.066511226
NA;Aeolus;2009-Jan-31;NA;F;J;39.4;6.81;0.6514;soxhlet;0.095653451
NA;Aeolus;2009-Jan-31;NA;F;J;38.9;6.23;0.4613;soxhlet;0.074044944
NA;Aeolus;2009-Jan-31;NA;M;A;37.9;6.13;0.6054;soxhlet;0.098760196
NA;Aeolus;2009-Jan-31;NA;M;A;38.2;5.75;0.6005;soxhlet;0.104434783
NA;Aeolus;2009-Jan-31;NA;M;J;36.6;5.52;0.7896;soxhlet;0.143043478
NA;Aeolus;2009-Jan-31;NA;M;A;36.4;5.9;0.4598;soxhlet;0.077932203
NA;Aeolus;2009-Jan-31;NA;M;J;37.1;5.18;0.2313;soxhlet;0.04465251
NA;Aeolus;2009-Jan-31;NA;M;A;36.7;6.48;0.7312;soxhlet;0.112839506
NA;Aeolus;2009-Jan-31;NA;M;A;36.4;6.42;0.8654;soxhlet;0.134797508
NA;Aeolus;2009-Jan-31;NA;F;J;38.6;6.98;0.6477;soxhlet;0.092793696
NA;Aeolus;2009-Jan-31;NA;F;J;37.9;6.48;0.3422;soxhlet;0.052808642
NA;Aeolus;2009-Jan-31;NA;M;J;38.5;6.59;0.6004;soxhlet;0.091107739
NA;Aeolus;2009-Jan-31;NA;M;A;38.2;6.56;0.4006;soxhlet;0.061067073
NA;Aeolus;2009-Jan-31;NA;M;J;35.8;5.29;0.422;soxhlet;0.079773157
NA;Aeolus;2009-Jan-31;NA;F;J;37.2;6.83;0.6953;soxhlet;0.101800878
NA;Aeolus;2009-Jan-31;NA;F;J;38.8;6.38;0.36870000000000003;soxhlet;0.057789969
NA;Aeolus;2009-Jan-31;NA;F;J;38.9;5.99;0.1524;soxhlet;0.025442404
NA;Aeolus;2009-Jan-31;NA;F;A;39.7;7.39;0.386;soxhlet;0.052232747
NA;Aeolus;2009-Jan-31;NA;F;A;38.7;6.09;0.6523;soxhlet;0.107110016
NA;Aeolus;2009-Jan-31;NA;F;A;37.7;6.68;0.3192;soxhlet;0.047784431
NA;Aeolus;2009-Jan-31;NA;F;A;38.4;6.94;0.444;soxhlet;0.063976945
NA;Aeolus;2009-Jan-31;NA;F;A;37.8;7.02;0.2474;soxhlet;0.035242165
NA;Aeolus;2009-Jan-31;NA;F;A;38.5;7.36;0.4049;soxhlet;0.055013587
NA;Aeolus;2009-Jan-31;NA;F;A;38;6.89;0.4272;soxhlet;0.062002903
NA;Aeolus;2009-Jan-31;NA;F;A;39.1;6.56;0.2983;soxhlet;0.045472561
NA;Aeolus;2009-Jan-31;NA;F;A;38.5;6.32;0.5741;soxhlet;0.090838608
NA;Aeolus;2009-Jan-31;NA;F;A;37.5;6.5;0.3185;soxhlet;0.049
NA;Aeolus;2009-Jan-31;NA;F;A;38.8;6.28;0.4033;soxhlet;0.064219745
NA;Aeolus;2009-Jan-31;NA;F;A;37.2;6.96;0.289;soxhlet;0.041522989
